id,weight,lon,lat
2015,95,-71.1293983927841,42.41480106493449
2037,36,-71.0697285074046,42.290393997413375
2038,60,-71.4244000718576,42.525141028790564
2039,256,-70.9629547232868,42.58710611111478
2043,2,-71.4057831391719,42.453155747316075
2050,2,-71.2315478593089,42.30186971836928
2054,3,-71.0891771343277,42.342922448665675
2057,30,-71.0661870676752,42.280756950871165
2070,2,-71.0820259407482,42.34113114471796
2073,22,-71.0733406160171,42.42826986757598
2074,48,-70.8342538105423,42.66922789337198
2082,4,-71.0417780989946,42.335990665380976
2100,4,-71.1908365439329,42.366284146855776
2108,3,-71.0752961777727,42.34544969714637
2109,64,-71.0978149286204,42.31678927189616
2116,5,-71.03843581193,42.36793904457087
2126,20,-71.0764377430506,42.32777265557208
2127,27,-71.0739777716215,42.33891203796816
2134,10,-71.1338367186268,42.34789756673307
2146,42,-71.1303928011825,42.363455421513464
2157,3,-71.095803,42.34399899999986
2159,6,-71.0566860778363,42.32995318298327
2162,200,-71.136445,42.52228399999987
2166,11,-71.1430954462972,42.34777006997917
2174,2,-71.0675874755099,42.45704120458177
2175,14,-71.0685515557375,42.44067020351028
2176,19,-71.0710917590558,42.44342979296087
2196,2,-71.03454584895461,42.39324476871647
2198,1,-71.0266339955415,42.39641883859797
2201,30,-71.0734029168256,42.40555743601786
2218,67,-71.0603745593109,42.35211409073658
2219,2,-71.4581165933312,42.14299921899915
2221,12,-70.884904081133,42.54554471181118
2228,44,-71.0788912154322,42.365643275138055
2229,62,-71.0623766724832,42.325605044095056
2231,42,-71.0396856230909,42.613452322397094
2233,4,-71.0611325821315,42.379598115240455
2238,13,-71.0542904212561,42.34205483735847
2241,3,-71.0246767118889,42.39753281559897
2242,1,-71.0651596850938,42.45576956487786
2245,1,-70.8782358732863,42.55037916245018
2247,2,-71.0558117309285,42.442547449786666
2248,8,-71.0715081506399,42.441421066886974
2249,1,-71.0474406999343,42.45960857870026
2253,1,-71.0620184626387,42.45952845119847
2254,3,-71.0703163614594,42.44962383325087
2258,3,-70.8836660506051,42.547958596361276
2265,147,-71.1868741091006,42.44955520268488
2270,6,-70.9063222578703,42.55294859948158
2273,60,-71.5000089760666,42.231289002850666
2278,19,-71.4904303152571,42.20260045785097
2279,6,-70.8835654507121,42.54621157991247
2281,5,-71.4833634407725,42.210729342626166
2286,21,-71.5482667473201,42.25989289129177
2294,61,-71.5383357983489,42.48950348103328
2296,6,-71.519199,42.30474599999986
2303,25,-71.0738410886768,42.38352654087368
2305,15,-71.0610455349755,42.47409868350267
2311,12,-71.1092001021858,42.305299073977565
2313,30,-71.1424898427363,42.39311871819448
2315,8,-71.41785927449351,42.279956265830464
2317,23,-71.073085,42.38105899999988
2318,62,-71.2433068594361,42.039093719167475
2322,11,-71.0659294814481,42.45358307361946
2328,83,-71.3948473083332,42.46076918985626
2329,8,-71.0538637007619,42.333159627264976
2330,1,-71.2747254643814,42.48419619065737
2331,1,-71.1737852673158,42.42754764987507
2332,5,-71.4517278415894,42.432723860502364
2333,5,-71.4597084751759,42.43089620759128
2334,12,-71.5196833419342,42.289270100155484
2335,323,-71.4494993230494,42.41926904730326
2343,78,-71.1155956310441,42.29747548407676
2353,27,-71.4108973818384,42.27705431707537
2354,20,-71.4164347246034,42.27791689167007
2355,21,-71.4290288479713,42.28924979514616
2359,28,-71.1475118147899,42.39560317247878
2360,25,-71.1451088971229,42.39366254928687
2367,11,-71.0418008744298,42.33698648471957
2368,40,-71.1015856093308,42.312808990780574
2369,17,-71.0965496923505,42.36839037543587
2370,43,-71.1083861274048,42.503831783908176
2373,55,-71.1004883682963,42.32115056888207
2374,5,-70.9228781853879,42.244602193119164
2376,11,-71.106264201909,42.35689528593428
2379,36,-71.0877963645388,42.363342245863166
2383,130,-70.9281264041996,42.507160696678376
2386,2,-71.1190981307542,42.38306503099936
2388,13,-71.0997646224882,42.36405004692856
2392,3,-71.099924663323307,42.364706793607276
2396,5,-71.1465592762634,42.392299881925666
2398,6,-71.06101822453282,42.35228071027366
2401,12,-71.0820943744622,42.36678031840087
2402,4,-70.897892,42.526382999999875
2403,41,-71.0714753984734,42.37160137451227
